CaseName	EndPointSituation	RequestAmount	CreditScore	Variant	NumberOfOffers	LoanGoal
Application_130460765	0	20000.0	972	37	2	Other,seeexplanation
Application_1300843234	1	12500.0	0	1117	2	Existingloantakeover
Application_1588619628	2	24000.0	0	213	3	Homeimprovement
Application_505474597	0	6750.0	1108	554	3	Car
Application_1765204099	0	8300.0	1063	37	2	Existingloantakeover
Application_1624825294	2	5000.0	0	63	1	Car
Application_1448214642	0	8000.0	1004	65	2	Homeimprovement
Application_987262285	1	6000.0	0	18	1	Car
Application_1845547664	0	9000.0	873	1118	2	Notspeficied
Application_1947648225	2	22000.0	0	110	3	Homeimprovement
Application_1130101747	0	10500.0	956	6	1	Other,seeexplanation
Application_798605556	2	35000.0	0	1	1	Homeimprovement
Application_2062932311	0	10000.0	1016	2	1	Car
Application_430902047	0	5000.0	1078	2	1	Car
Application_1370588808	2	25000.0	0	1	1	Homeimprovement
Application_163777174	0	11000.0	853	17	1	Existingloantakeover
Application_909491524	0	15000.0	1034	6	1	Caravan/Camper
Application_396349881	1	15000.0	0	78	1	Existingloantakeover
Application_930742634	0	10000.0	831	40	2	Homeimprovement
Application_2068443797	2	13500.0	0	19	2	Car
Application_354702724	0	5000.0	787	37	2	Other,seeexplanation
Application_1357431492	2	5000.0	0	1	1	Other,seeexplanation
Application_584603670	0	5000.0	793	47	1	Notspeficied
Application_807916303	0	12000.0	756	65	2	Car
Application_283012951	0	25000.0	956	2	1	Car
Application_1876456626	0	10750.0	682	600	3	Car
Application_178025821	2	50000.0	0	1119	2	Homeimprovement
Application_813133375	0	33800.0	908	166	3	Car
Application_268676496	0	5500.0	886	1120	4	Car
Application_1870161219	0	27400.0	827	17	1	Existingloantakeover
Application_1723779444	2	5000.0	0	19	2	Car
Application_1339153511	0	12000.0	889	128	1	Other,seeexplanation
Application_1754646859	2	10000.0	0	87	2	Homeimprovement
Application_2002564265	2	5000.0	0	1	1	Car
Application_1304234740	2	50000.0	0	391	2	Other,seeexplanation
Application_58755651	1	50000.0	0	1121	3	Homeimprovement
Application_93597308	2	50000.0	0	66	1	Existingloantakeover
Application_774787486	1	10000.0	0	59	2	Homeimprovement
Application_1660185664	0	0.0	943	290	1	Unknown
Application_2105878744	0	5000.0	806	2	1	Homeimprovement
Application_1446096185	0	0.0	1063	318	2	Unknown
Application_675073178	0	24000.0	953	22	1	Car
Application_952532843	2	9000.0	0	19	2	Car
Application_914660918	1	25000.0	0	42	1	Caravan/Camper
Application_167944225	1	8000.0	0	9	1	Existingloantakeover
Application_1962860870	0	6000.0	871	485	2	Other,seeexplanation
Application_1696031128	1	20000.0	0	42	1	Car
Application_803879893	0	10000.0	904	39	1	Homeimprovement
Application_1886382319	2	11000.0	0	27	2	Remainingdebthome
Application_1250134245	2	5000.0	0	19	2	Homeimprovement
Application_1044610848	0	50000.0	0	5	1	Other,seeexplanation
Application_1999238509	0	10000.0	0	107	1	Existingloantakeover
Application_854524772	0	0.0	837	11	1	Homeimprovement
Application_927205634	2	0.0	0	62	1	Unknown
Application_484278024	2	7000.0	0	74	1	Other,seeexplanation
Application_1674281629	0	30000.0	0	61	2	Homeimprovement
Application_299986859	0	30000.0	844	5	1	Car
Application_1374020543	0	30000.0	0	1122	1	Remainingdebthome
Application_1252717204	0	20600.0	859	1123	4	Existingloantakeover
Application_24648067	0	15000.0	951	10	1	Caravan/Camper
Application_1823402778	0	15000.0	1023	554	3	Notspeficied
Application_2108937169	0	0.0	869	422	1	Unknown
Application_895241174	0	22000.0	0	1124	3	Extraspendinglimit
Application_1290239114	0	15000.0	979	3	1	Car
Application_1787371920	0	23500.0	0	12	1	Other,seeexplanation
Application_1471099537	0	10000.0	0	1103	2	Car
Application_37839400	0	25000.0	0	12	1	Car
Application_1128910355	2	0.0	0	1125	2	Car
Application_54405635	2	6000.0	0	13	1	Other,seeexplanation
Application_395903076	0	16000.0	859	3	1	Existingloantakeover
Application_1859638703	0	15000.0	1064	124	2	Other,seeexplanation
Application_1101997724	2	10000.0	0	63	1	Notspeficied
Application_74505494	2	20000.0	0	14	2	Homeimprovement
Application_525275343	1	43000.0	0	18	1	Existingloantakeover
Application_106973225	2	30000.0	0	1	1	Homeimprovement
Application_1315608886	0	15000.0	811	2	1	Homeimprovement
Application_1538441067	2	10500.0	0	266	2	Homeimprovement
Application_822724921	0	30000.0	887	28	2	Existingloantakeover
Application_2040511284	2	5500.0	0	187	3	Other,seeexplanation
Application_1754943309	2	10000.0	0	1	1	Homeimprovement
Application_323012882	0	8000.0	1033	8	1	Car
Application_347136910	0	15000.0	869	2	1	Car
Application_1432907447	0	0.0	1010	11	1	Unknown
Application_1004303396	0	15000.0	1006	101	1	Homeimprovement
Application_1096831814	0	11800.0	994	51	2	Car
Application_1068218912	2	7500.0	0	19	2	Motorcycle
Application_709929024	0	5000.0	1067	36	2	Car
Application_347787380	0	26000.0	0	1126	2	Car
Application_1546754076	0	15000.0	1021	43	1	Homeimprovement
Application_1365381023	2	5000.0	0	284	2	Car
Application_1981969728	0	40000.0	920	131	1	Remainingdebthome
Application_665878125	2	18000.0	0	27	2	Homeimprovement
Application_1044911465	2	19500.0	0	45	2	Existingloantakeover
Application_1613424593	0	18000.0	980	28	2	Existingloantakeover
Application_862160604	2	20000.0	0	27	2	Homeimprovement
Application_60181210	0	20000.0	884	25	1	Other,seeexplanation
Application_369018038	2	0.0	0	13	1	Unknown
Application_920048730	2	40000.0	0	202	2	Boat
Application_220402598	2	18000.0	0	13	1	Car
Application_1947668470	0	20000.0	0	5	1	Homeimprovement
Application_1301925609	0	35000.0	862	77	1	Other,seeexplanation
Application_2070389081	1	30000.0	0	690	2	Homeimprovement
Application_864903752	1	16000.0	0	545	2	Car
Application_1159653941	2	0.0	0	4	1	Unknown
Application_663648942	2	15000.0	0	19	2	Homeimprovement
Application_1616009132	0	0.0	884	11	1	Unknown
Application_53530491	0	0.0	868	10	1	Unknown
Application_1953406738	2	5000.0	0	284	2	Car
Application_1413308979	2	6000.0	0	1	1	Homeimprovement
Application_1308403282	0	18000.0	1004	251	2	Homeimprovement
Application_212010049	0	18500.0	794	10	1	Businessgoal
Application_1946680177	0	25000.0	838	1127	1	Homeimprovement
Application_948316229	0	30000.0	943	747	2	Homeimprovement
Application_1138826038	0	5000.0	743	17	1	Existingloantakeover
Application_369105792	2	5000.0	0	1	1	Car
Application_1998350808	2	21800.0	0	1	1	Existingloantakeover
Application_1301009504	2	35000.0	0	7	1	Homeimprovement
Application_547462088	2	20000.0	0	7	1	Existingloantakeover
Application_223366470	2	5000.0	0	324	1	Existingloantakeover
Application_1130151790	2	27000.0	0	13	1	Car
Application_1791187926	2	5000.0	0	570	3	Homeimprovement
Application_421364849	0	32000.0	962	3	1	Existingloantakeover
Application_1268592022	0	10000.0	918	538	2	Homeimprovement
Application_1955353500	0	20000.0	0	12	1	Existingloantakeover
Application_485131054	1	0.0	0	70	2	Unknown
Application_1979402314	2	13250.0	0	1128	4	Existingloantakeover
Application_1723028098	1	25000.0	0	9	1	Other,seeexplanation
Application_1946236735	0	16000.0	983	8	1	Car
Application_1428307326	0	25000.0	0	5	1	Unknown
Application_1310063638	1	8000.0	0	9	1	Notspeficied
Application_1499869275	2	30000.0	0	203	1	Homeimprovement
Application_1141114991	1	15000.0	0	20	1	Other,seeexplanation
Application_918770224	0	10000.0	851	1129	4	Homeimprovement
Application_1016816804	0	5000.0	1047	8	1	Other,seeexplanation
Application_1650844500	0	27000.0	986	43	1	Remainingdebthome
Application_1854801140	2	8750.0	0	1130	4	Car
Application_2078020265	1	10000.0	0	59	2	Car
Application_567907480	0	25000.0	926	11	1	Homeimprovement
Application_748088065	0	15000.0	994	3	1	Homeimprovement
Application_572814439	2	25000.0	0	705	1	Homeimprovement
Application_256650628	0	10000.0	1009	2	1	Homeimprovement
Application_1151254747	2	5000.0	0	213	3	Other,seeexplanation
Application_972938507	0	35786.0	952	37	2	Remainingdebthome
Application_360475310	0	8000.0	1039	891	1	Notspeficied
Application_19324985	2	8000.0	0	7	1	Car
Application_1643165806	1	15000.0	0	9	1	Existingloantakeover
Application_418070482	0	11000.0	667	28	2	Homeimprovement
Application_1248349972	2	5000.0	0	172	1	Other,seeexplanation
Application_923963777	0	5000.0	1124	3	1	Homeimprovement
Application_1746133767	0	20000.0	994	3	1	Homeimprovement
Application_920497952	2	50000.0	0	14	2	Homeimprovement
Application_886515262	0	30000.0	710	146	2	Other,seeexplanation
Application_416441220	2	7500.0	0	1	1	Notspeficied
Application_1975617123	0	17500.0	722	84	2	Car
Application_726777197	2	5000.0	0	7	1	Car
Application_275597794	2	5000.0	0	1131	3	Homeimprovement
Application_153538723	2	5000.0	0	30	1	Existingloantakeover
Application_368205428	0	18000.0	853	228	3	Caravan/Camper
Application_923808413	0	20000.0	1004	8	1	Car
Application_1933550065	2	13500.0	0	791	8	Remainingdebthome
Application_854409161	2	5000.0	0	4	1	Existingloantakeover
Application_346636726	0	15000.0	1076	643	2	Car
Application_1420077883	0	27500.0	746	28	2	Remainingdebthome
Application_236257423	2	10000.0	0	1	1	Extraspendinglimit
Application_1892186837	1	5000.0	0	481	1	Extraspendinglimit
Application_438518989	0	0.0	846	1132	2	Unknown
Application_788421650	2	0.0	0	27	2	Existingloantakeover
Application_1447851462	1	23000.0	0	1133	1	Homeimprovement
Application_664267418	2	10000.0	0	1	1	Existingloantakeover
Application_2118101879	0	12000.0	0	5	1	Car
Application_1259601023	0	10000.0	0	297	2	Existingloantakeover
Application_969058358	1	25000.0	0	72	1	Car
Application_29490720	0	25500.0	0	12	1	Car
Application_193978070	0	35000.0	758	32	1	Extraspendinglimit
Application_1916415976	0	5500.0	947	17	1	Car
Application_1267839101	0	15000.0	1013	3	1	Car
Application_1101248362	2	7800.0	0	30	1	Existingloantakeover
Application_1800870760	0	45000.0	957	76	2	Existingloantakeover
Application_1484851617	2	7500.0	0	267	2	Car
Application_402039661	1	37000.0	0	1134	4	Other,seeexplanation
Application_1494501575	0	35000.0	598	35	1	Homeimprovement
Application_1675166178	0	15000.0	873	2	1	Car
Application_297421946	0	7000.0	870	6	1	Homeimprovement
Application_920229339	0	28000.0	924	2	1	Car
Application_562322973	2	25000.0	0	14	2	Other,seeexplanation
Application_722397148	0	14500.0	875	572	4	Car
Application_1645236489	2	23000.0	0	1135	5	Remainingdebthome
Application_1868808301	0	10000.0	631	263	2	Car
Application_1702060008	0	20000.0	931	2	1	Other,seeexplanation
Application_2059945768	0	30000.0	948	50	1	Other,seeexplanation
Application_2115613475	2	14250.0	0	1136	5	Existingloantakeover
Application_409724822	2	38500.0	0	1	1	Homeimprovement
Application_788960916	2	45000.0	0	1	1	Car
Application_1807951250	0	22000.0	863	22	1	Existingloantakeover
Application_944177310	2	10000.0	0	92	2	Other,seeexplanation
Application_1277100580	0	7000.0	901	201	1	Homeimprovement
Application_1943199357	0	50000.0	848	3	1	Boat
Application_1462709587	0	11000.0	988	2	1	Car
Application_1911804233	2	20000.0	0	7	1	Other,seeexplanation
Application_1195396325	0	15000.0	1035	43	1	Extraspendinglimit
Application_1274070913	2	5000.0	0	33	2	Other,seeexplanation
Application_503966930	0	36000.0	0	12	1	Existingloantakeover
Application_1362293013	0	21500.0	910	174	2	Existingloantakeover
Application_866541745	2	0.0	0	1137	4	Unknown
Application_200000547	0	6000.0	954	232	2	Remainingdebthome
Application_948906324	0	5000.0	915	3	1	Car
Application_1172125329	1	6000.0	0	54	2	Existingloantakeover
Application_1931792282	1	7000.0	0	85	1	Homeimprovement
Application_275338795	0	7500.0	842	8	1	Car
Application_243636886	2	7500.0	0	7	1	Existingloantakeover
Application_1838732360	2	5000.0	0	4	1	Existingloantakeover
Application_125495187	1	5000.0	0	18	1	Existingloantakeover
Application_2006366791	0	17700.0	885	1049	5	Car
Application_1930449097	2	20000.0	0	4	1	Homeimprovement
Application_1640008006	0	5000.0	842	31	1	Car
Application_1281827491	0	6000.0	965	15	1	Car
Application_1854554571	0	5000.0	811	914	1	Car
Application_13372270	0	5000.0	871	3	1	Car
Application_1492351094	0	12000.0	958	49	2	Homeimprovement
Application_675506291	0	24000.0	781	31	1	Notspeficied
Application_898874076	2	5000.0	0	346	4	Notspeficied
Application_1251541081	2	15000.0	0	4	1	Other,seeexplanation
Application_1853222107	1	19763.0	0	18	1	Car
Application_1629784556	0	48000.0	792	28	2	Existingloantakeover
Application_190984886	0	15000.0	1030	28	2	Homeimprovement
Application_911291915	2	25000.0	0	13	1	Car
Application_1179942266	0	50000.0	926	3	1	Existingloantakeover
Application_1807570830	0	14000.0	967	2	1	Homeimprovement
Application_88479581	0	31000.0	826	22	1	Remainingdebthome
Application_804815556	0	10000.0	982	37	2	Homeimprovement
Application_1669670154	0	5000.0	1059	3	1	Other,seeexplanation
Application_1231177181	0	50000.0	1009	1138	3	Other,seeexplanation
Application_989064530	0	12500.0	844	2	1	Existingloantakeover
Application_2063036518	0	0.0	0	5	1	Extraspendinglimit
Application_1174199914	0	6000.0	1108	2	1	Homeimprovement
Application_1891076145	0	15000.0	1027	235	1	Car
Application_1226577675	0	10000.0	862	3	1	Extraspendinglimit
Application_987213908	1	15000.0	0	143	1	Car
Application_373612346	0	10000.0	911	11	1	Homeimprovement
Application_678686961	0	36500.0	949	28	2	Existingloantakeover
Application_1247929652	0	30000.0	754	21	1	Homeimprovement
Application_1880024094	2	6000.0	0	13	1	Extraspendinglimit
Application_829714042	0	10000.0	1133	29	1	Homeimprovement
Application_111956933	2	5000.0	0	1139	5	Car
Application_1922956945	2	7500.0	0	1	1	Other,seeexplanation
Application_1562741414	0	10000.0	1032	26	1	Homeimprovement
Application_983392205	0	21500.0	874	65	2	Remainingdebthome
Application_929235447	2	5000.0	0	602	4	Car
Application_2012524282	0	5000.0	1082	17	1	Car
Application_874857207	2	12000.0	0	1	1	Car
Application_74089970	1	15000.0	0	182	1	Existingloantakeover
Application_1291947335	1	5000.0	0	18	1	Car
Application_1559270931	0	6000.0	983	3	1	Car
Application_2003843374	1	7250.0	0	178	1	Car
Application_493812399	0	45000.0	918	2	1	Boat
Application_144264435	0	6500.0	781	2	1	Other,seeexplanation
Application_2005183817	0	0.0	997	418	2	Unknown
Application_606090913	2	0.0	0	4	1	Unknown
Application_1377264777	0	6000.0	650	2	1	Car
Application_1052983039	0	5000.0	1042	6	1	Homeimprovement
Application_1363165385	2	35000.0	0	1	1	Remainingdebthome
Application_1426271838	0	35000.0	899	12	1	Car
Application_1537110918	0	15000.0	953	299	1	Homeimprovement
Application_1313879847	2	20000.0	0	1140	5	Remainingdebthome
Application_162342266	0	0.0	914	57	1	Unknown
Application_2039499576	0	40000.0	967	5	1	Homeimprovement
Application_1326688469	2	35000.0	0	7	1	Existingloantakeover
Application_1549864001	0	44000.0	912	501	2	Existingloantakeover
Application_466958327	0	25000.0	0	12	1	Homeimprovement
Application_232465255	0	0.0	0	5	1	Unknown
Application_664361440	2	36000.0	0	1	1	Car
Application_1508103415	0	0.0	839	21	1	Unknown
Application_1747572025	2	12500.0	0	86	1	Caravan/Camper
Application_1302654957	2	37500.0	0	1	1	Existingloantakeover
Application_2120232738	2	5000.0	0	1141	1	Car
Application_1930715945	2	35000.0	0	1	1	Homeimprovement
Application_1439119047	0	0.0	834	12	1	Remainingdebthome
Application_807098596	1	0.0	0	20	1	Unknown
Application_1295329022	0	12500.0	970	1142	8	Homeimprovement
Application_1699815319	0	10000.0	1070	3	1	Car
Application_1498056352	2	26500.0	0	790	5	Car
Application_743887463	0	34900.0	809	81	2	Other,seeexplanation
Application_1173759169	0	50000.0	862	113	3	Existingloantakeover
Application_2092350091	2	9000.0	0	60	3	Car
Application_1979284304	0	0.0	746	430	1	Unknown
Application_297491355	0	10000.0	1088	3	1	Car
Application_1204730406	0	15000.0	1064	8	1	Homeimprovement
Application_1634651522	1	7500.0	0	1143	2	Homeimprovement
Application_1470184564	1	5000.0	0	18	1	Other,seeexplanation
Application_1944285638	1	7000.0	0	18	1	Existingloantakeover
Application_836161395	0	10000.0	800	8	1	Homeimprovement
Application_1945220465	0	10000.0	1006	241	2	Homeimprovement
Application_1764180224	0	6000.0	1003	65	2	Extraspendinglimit
Application_1898813636	2	5000.0	0	45	2	Other,seeexplanation
Application_681276588	2	35000.0	0	13	1	Existingloantakeover
Application_365416480	2	15000.0	0	1	1	Car
Application_1312956122	0	12000.0	696	1144	2	Car
Application_1403474196	0	25000.0	888	5	1	Homeimprovement
Application_1195697898	0	25000.0	951	1145	2	Remainingdebthome
Application_1014301064	1	0.0	0	20	1	Unknown
Application_242156921	0	50000.0	0	12	1	Homeimprovement
Application_2034562541	0	25000.0	0	77	1	Other,seeexplanation
Application_1553446113	2	5000.0	0	1	1	Extraspendinglimit
Application_443070493	2	0.0	0	27	2	Unknown
Application_1417516413	2	5000.0	0	27	2	Car
Application_1649139732	2	0.0	0	4	1	Unknown
Application_289811958	0	15000.0	886	5	1	Car
Application_341998174	2	0.0	0	4	1	Unknown
Application_879749975	2	7000.0	0	19	2	Car
Application_59959307	0	23000.0	867	2	1	Existingloantakeover
Application_2103337476	0	16000.0	1085	81	2	Car
Application_1833362956	0	0.0	0	333	2	Car
Application_750571787	0	8000.0	953	3	1	Car
Application_1513129576	0	10000.0	1064	3	1	Car
Application_1091101077	2	50000.0	0	16	1	Homeimprovement
Application_1899463053	0	25000.0	836	436	2	Existingloantakeover
Application_1853330214	0	30000.0	0	12	1	Car
Application_1271512732	2	5000.0	0	1	1	Extraspendinglimit
Application_1502516207	1	0.0	0	20	1	Existingloantakeover
Application_22095206	0	15000.0	1020	1146	4	Car
Application_1631137033	2	20000.0	0	908	1	Notspeficied
Application_1142700916	2	21000.0	0	1	1	Car
Application_2078253178	0	45000.0	885	11	1	Car
Application_1724196691	2	0.0	0	4	1	Homeimprovement
Application_1139007530	0	15000.0	890	2	1	Existingloantakeover
Application_784275418	2	5000.0	0	19	2	Other,seeexplanation
Application_1771304108	1	0.0	0	20	1	Unknown
Application_259183799	2	5000.0	0	19	2	Homeimprovement
Application_2081147987	1	20000.0	0	9	1	Homeimprovement
Application_1282765506	0	6500.0	985	229	2	Car
Application_259143826	2	15000.0	0	30	1	Car
Application_1462703151	1	5000.0	0	195	1	Car
Application_1905015342	1	7500.0	0	871	2	Homeimprovement
Application_1841789315	0	5000.0	817	17	1	Car
Application_2072694343	0	16000.0	868	164	2	Homeimprovement
Application_1316947913	2	40000.0	0	19	2	Other,seeexplanation
Application_1282768200	0	5000.0	876	1147	2	Homeimprovement
Application_1848603655	2	6300.0	0	1	1	Car
Application_2065677935	0	50000.0	926	2	1	Homeimprovement
Application_775833032	0	15000.0	869	522	3	Taxpayments
Application_1719274647	0	18000.0	794	8	1	Other,seeexplanation
Application_1863611182	2	30000.0	0	1	1	Homeimprovement
Application_1600150028	1	20000.0	0	59	2	Homeimprovement
Application_1292397670	0	26000.0	824	55	1	Existingloantakeover
Application_2081911804	2	15000.0	0	312	1	Car
Application_335096189	0	5000.0	800	6	1	Extraspendinglimit
Application_111540759	2	10000.0	0	1	1	Car
Application_524429786	1	15000.0	0	9	1	Homeimprovement
Application_1355798622	2	15000.0	0	45	2	Existingloantakeover
Application_854402455	0	40000.0	825	1148	2	Notspeficied
Application_1077411737	0	10000.0	741	23	1	Homeimprovement
Application_1283783929	2	50000.0	0	118	2	Existingloantakeover
Application_854178970	0	20000.0	774	1149	2	Homeimprovement
Application_1507218840	0	16000.0	0	61	2	Car
Application_543915014	0	35000.0	806	15	1	Homeimprovement
Application_1940130892	0	50000.0	860	36	2	Homeimprovement
Application_2139889803	0	0.0	929	8	1	Unknown
Application_918578724	0	21000.0	0	333	2	Car
Application_843590096	0	10000.0	0	5	1	Car
Application_220286199	0	15000.0	0	5	1	Homeimprovement
Application_5240566	1	35000.0	0	18	1	Other,seeexplanation
Application_919767326	0	0.0	773	22	1	Unknown
Application_123754331	0	5000.0	923	8	1	Existingloantakeover
Application_1368129455	0	14000.0	713	2	1	Homeimprovement
Application_2063334713	0	7000.0	1028	150	1	Existingloantakeover
Application_402170266	2	0.0	0	94	1	Unknown
Application_339079436	0	10000.0	783	10	1	Existingloantakeover
Application_1296151288	0	0.0	843	22	1	Unknown
Application_1476922534	0	6000.0	1000	1150	4	Car
Application_2144860637	0	5000.0	979	22	1	Existingloantakeover
Application_1089454	0	0.0	947	1018	2	Unknown
Application_1938300690	1	45000.0	0	9	1	Homeimprovement
Application_2032309445	0	6000.0	993	339	2	Homeimprovement
Application_385432676	2	0.0	0	1022	1	Homeimprovement
Application_1926826475	2	20000.0	0	1151	2	Taxpayments
Application_1274270315	0	16500.0	0	12	1	Car
Application_1692006952	0	29000.0	0	12	1	Homeimprovement
Application_769217696	0	29000.0	862	11	1	Homeimprovement
Application_994471234	0	0.0	822	5	1	Homeimprovement
Application_1902262189	0	19000.0	895	8	1	Unknown
Application_1562990453	0	5000.0	918	3	1	Homeimprovement
Application_1468021532	1	15000.0	0	967	2	Unknown
Application_1152306667	0	10000.0	904	780	1	Other,seeexplanation
Application_584603030	1	23000.0	0	18	1	Existingloantakeover
Application_1903580067	1	5000.0	0	24	1	Homeimprovement
Application_2033211562	0	6000.0	986	49	2	Car
Application_838952120	0	12500.0	792	32	1	Car
Application_243155734	0	15000.0	892	11	1	Car
Application_63970219	0	10000.0	786	188	3	Other,seeexplanation
Application_346329864	0	10000.0	797	237	1	Homeimprovement
Application_1779355171	0	0.0	0	12	1	Homeimprovement
Application_1436618564	2	15500.0	0	1	1	Existingloantakeover
Application_1060570579	2	0.0	0	4	1	Unknown
Application_344339957	0	5000.0	727	75	1	Car
Application_669100042	0	0.0	721	8	1	Unknown
Application_1832254057	0	50000.0	939	8	1	Car
Application_1719978147	0	8000.0	1036	6	1	Car
Application_637491144	2	7500.0	0	4	1	Car
Application_768179563	2	37000.0	0	4	1	Homeimprovement
Application_316292435	1	10000.0	0	18	1	Car
Application_1833979489	0	0.0	829	160	2	Unknown
Application_1386615618	2	50000.0	0	1	1	Homeimprovement
Application_224343695	0	10000.0	853	1152	1	Other,seeexplanation
Application_1072003198	2	25000.0	0	1153	2	Car
Application_368633868	0	10000.0	794	111	1	Unknown
Application_1493542155	2	35000.0	0	87	2	Existingloantakeover
Application_1708364219	0	15000.0	900	3	1	Homeimprovement
Application_1506426720	0	0.0	819	5	1	Unknown
Application_208148111	2	15000.0	0	878	3	Existingloantakeover
Application_953392572	1	35000.0	0	9	1	Existingloantakeover
Application_1616900126	0	37500.0	938	83	2	Homeimprovement
Application_7078377	0	10000.0	1007	3	1	Homeimprovement
Application_1191743894	0	15000.0	922	2	1	Car
Application_570561205	0	7500.0	848	6	1	Homeimprovement
Application_1221068482	1	5000.0	0	24	1	Car
Application_1004293292	0	14000.0	946	3	1	Car
Application_662386389	2	6000.0	0	1	1	Taxpayments
Application_119348284	0	7000.0	875	31	1	Car
Application_1238272674	0	8000.0	921	925	1	Existingloantakeover
Application_888479862	0	14000.0	1000	196	2	Other,seeexplanation
Application_1277569989	2	19000.0	0	1154	3	Car
Application_408645375	0	5000.0	1133	15	1	Car
Application_1955246402	1	20000.0	0	18	1	Car
Application_1740302556	2	50000.0	0	7	1	Homeimprovement
Application_122336824	2	24000.0	0	7	1	Car
Application_505823301	1	10000.0	0	18	1	Homeimprovement
Application_1688279534	2	7000.0	0	7	1	Existingloantakeover
Application_1848036697	0	250000.0	878	11	1	Unknown
Application_1786874274	0	0.0	0	108	1	Unknown
Application_1589119859	2	30000.0	0	7	1	Remainingdebthome
Application_265587905	0	10250.0	797	1155	4	Other,seeexplanation
Application_1624036826	2	10000.0	0	45	2	Homeimprovement
Application_1662197696	0	5000.0	1010	31	1	Homeimprovement
Application_1548782450	0	26400.0	848	11	1	Existingloantakeover
Application_660784718	0	35000.0	0	5	1	Caravan/Camper
Application_234080274	0	20000.0	947	96	2	Homeimprovement
Application_124239405	0	16500.0	738	25	1	Car
